show_id,show_name,tony_win,tony_category,tony_year
248,AMERICAN PSYCHO,0,,
249,BLACK TO THE FUTURE,0,,
250,BLACKBIRD,0,,
251,BRIGHT STAR,0,,
252,CATS,0,,
253,DEAR EVAN HANSEN,1,Best Musical,2017
254,DISASTER!,0,,
255,ECLIPSED,0,,
256,FALSETTOS,0,,
257,FULLY COMMITTED,0,,
258,HEISENBERG,0,,
259,HUGHIE,0,,
260,IN TRANSIT,0,,
261,LES LIAISONS DANGEREUSES,0,,
262,LONG DAY'S JOURNEY INTO NIGHT,0,,
263,"OH, HELLO ON BROADWAY",0,,
264,OUR MOTHER'S BRIEF AFFAIR,0,,
265,SHE LOVES ME,0,,
266,THE CHERRY ORCHARD,0,,
267,THE CRUCIBLE,0,,
268,THE ENCOUNTER,0,,
269,THE FATHER,0,,
270,THE FRONT PAGE,0,,
271,THE HUMANS,1,Best Play,2016
272,THE PRESENT,0,,
273,TUCK EVERLASTING,0,,
274,WAITRESS,0,,
275,1984,0,,
276,"A DOLL'S HOUSE, PART 2",0,,
277,AMÉLIE,0,,
278,ANASTASIA,0,,
279,BANDSTAND,0,,
280,CHARLIE AND THE CHOCOLATE FACTORY,0,,
281,COME FROM AWAY,0,,
282,FARINELLI AND THE KING,0,,
283,GROUNDHOG DAY,0,,
284,"HELLO, DOLLY!",1,Best Revival of a Musical,2017
285,HOME FOR THE HOLIDAYS,0,,
286,INDECENT,0,,
287,JITNEY,1,Best Revival of a Play,2017
288,JOHN LITHGOW: STORIES BY HEART,0,,
289,JUNK,0,,
290,LATIN HISTORY FOR MORONS,0,,
291,M. BUTTERFLY,0,,
292,MARVIN'S ROOM,0,,
293,METEOR SHOWER,0,,
294,MISS SAIGON,0,,
295,ONCE ON THIS ISLAND,1,Best Revival of a Musical,2018
296,OSLO,1,Best Play,2017
297,PRINCE OF BROADWAY,0,,
298,SIGNIFICANT OTHER,0,,
299,SIX DEGREES OF SEPARATION,0,,
300,SPONGEBOB SQUAREPANTS,0,,
301,SPRINGSTEEN ON BROADWAY,0,,
302,SUNDAY IN THE PARK WITH GEORGE,0,,
303,SUNSET BOULEVARD,0,,
304,SWEAT,0,,
305,THE BAND'S VISIT,1,Best Musical,2018
306,THE CHILDREN,0,,
307,THE LITTLE FOXES,0,,
308,THE PARISIAN WOMAN,0,,
309,THE PLAY THAT GOES WRONG,0,,
310,THE PRICE,0,,
311,THE TERMS OF MY SURRENDER,0,,
312,TIME AND THE CONWAYS,0,,
313,WAR PAINT,0,,
314,AMERICAN SON,0,,
315,ANGELS IN AMERICA,1,Best Revival of a Play,2018
316,BERNHARDT/HAMLET,0,,
317,CAROUSEL,0,,
318,CELEBRITY AUTOBIOGRAPHY,0,,
319,CHILDREN OF A LESSER GOD,0,,
320,CHOIR BOY,0,,
321,ESCAPE TO MARGARITAVILLE,0,,
322,FROZEN,0,,
323,GETTIN' THE BAND BACK TOGETHER,0,,
324,HEAD OVER HEELS,0,,
325,KING KONG,0,,
326,LOBBY HERO,0,,
327,MEAN GIRLS,0,,
328,MY FAIR LADY,0,,
329,NETWORK,0,,
330,ROCKTOPIA,0,,
331,SAINT JOAN,0,,
332,STRAIGHT WHITE MEN,0,,
333,THE BOYS IN THE BAND,0,,
334,THE CHER SHOW,0,,
335,THE FERRYMAN,1,Best Play,2019
336,THE ICEMAN COMETH,0,,
337,THE ILLUSIONISTS - MAGIC OF THE HOLIDAYS,0,,
338,THE LIFESPAN OF A FACT,0,,
339,THE NAP,0,,
340,THE PROM,0,,
341,THE WAVERLY GALLERY,1,Best Revival of a Play,2019
342,THREE TALL WOMEN,0,,
343,TO KILL A MOCKINGBIRD,0,,
344,TORCH SONG,0,,
345,TRAVESTIES,0,,
346,TRUE WEST,0,,
347,A CHRISTMAS CAROL,0,,
348,A SOLDIER'S PLAY,0,,
349,AIN'T TOO PROUD,0,,
350,ALL MY SONS,0,,
351,AMERICAN UTOPIA,0,,
352,BE MORE CHILL,0,,
353,BEETLEJUICE,0,,
354,BURN THIS,0,,
355,DERREN BROWN: SECRET,0,,
356,FRANKIE AND JOHNNY IN THE CLAIR DE LUNE,0,,
357,FREESTYLE LOVE SUPREME,0,,
358,GARY: A SEQUEL TO TITUS ANDRONICUS,0,,
359,GRAND HORIZONS,0,,
360,HADESTOWN,1,Best Musical,2019
361,"HARRY CONNICK, JR. - A CELEBRATION OF COLE PORTER",0,,
362,HILLARY AND CLINTON,0,,
363,INK,0,,
364,JAGGED LITTLE PILL,0,,
365,KING LEAR,0,,
366,"KISS ME, KATE",0,,
367,KRISTIN CHENOWETH: FOR THE GIRLS,0,,
368,LINDA VISTA,0,,
369,MOULIN ROUGE!,0,,
370,OKLAHOMA!,1,Best Revival of a Musical,2019
371,SLAVA'S SNOWSHOW,0,,
372,SLAVE PLAY,0,,
373,THE GREAT SOCIETY,0,,
374,THE HEIGHT OF THE STORM,0,,
375,THE INHERITANCE,0,,
376,THE ROSE TATTOO,0,,
377,THE SOUND INSIDE,0,,
378,TOOTSIE,0,,
379,WEST SIDE STORY,0,,
380,WHAT THE CONSTITUTION MEANS TO ME,0,,
381,YANNI,0,,
382,COMPANY,1,Best Revival of a Musical,2022
383,DIANA,0,,
384,GIRL FROM THE NORTH COUNTRY,0,,
385,HANGMEN,0,,
386,MY NAME IS LUCY BARTON,0,,
387,SIX: THE MUSICAL,0,,
388,THE LEHMAN TRILOGY,1,Best Play,2022
389,THE MINUTES,0,,
390,"CAROLINE, OR CHANGE",0,,
391,CLYDE'S,0,,
392,FLYING OVER SUNSET,0,,
393,HARRY POTTER AND THE CURSED CHILD,1,Best Play,2018
394,IS THIS A ROOM,0,,
395,LACKAWANNA BLUES,0,,
396,MJ,0,,
397,MOULIN ROUGE! THE MUSICAL,0,,
398,MRS. DOUBTFIRE,0,,
399,PASS OVER,0,,
400,THE MUSIC MAN,0,,
401,THOUGHTS OF A COLORED MAN,0,,
402,TROUBLE IN MIND,0,,
403,& JULIET,0,,
404,1776,0,,
405,"A BEAUTIFUL NOISE, THE NEIL DIAMOND MUSICAL",0,,
406,A STRANGE LOOP,1,Best Musical,2022
407,AIN'T NO MO',0,,
408,ALMOST FAMOUS,0,,
409,AMERICAN BUFFALO,0,,
410,BETWEEN RIVERSIDE AND CRAZY,0,,
411,BIRTHDAY CANDLES,0,,
412,COST OF LIVING,0,,
413,FOR COLORED GIRLS WHO HAVE CONSIDERED SUICIDE / WHEN THE RAINBOW IS ENUF,0,,
414,FUNNY GIRL,0,,
415,HOW I LEARNED TO DRIVE,0,,
416,INTO THE WOODS,0,,
417,KIMBERLY AKIMBO,1,Best Musical,2023
418,KPOP,0,,
419,LEOPOLDSTADT,1,Best Play,2023
420,MR. SATURDAY NIGHT,0,,
421,OHIO STATE MURDERS,0,,
422,PARADISE SQUARE,0,,
423,PLAZA SUITE,0,,
424,SKELETON CREW,0,,
425,SOME LIKE IT HOT,0,,
426,TAKE ME OUT,1,Best Revival of a Play,2022
427,THE COLLABORATION,0,,
428,THE KITE RUNNER,0,,
429,THE LITTLE PRINCE,0,,
430,THE PIANO LESSON,0,,
431,THE SKIN OF OUR TEETH,0,,
432,TOPDOG / UNDERDOG,1,Best Revival of a Play,2023
433,A DOLL'S HOUSE,0,,
434,APPROPRIATE,1,Best Revival of a Play,2024
435,BACK TO THE FUTURE: THE MUSICAL,0,,
436,BAD CINDERELLA,0,,
437,BOB FOSSE'S DANCIN',0,,
438,CAMELOT,0,,
439,EL MAGO POP,0,,
440,FAT HAM,0,,
441,"GOOD NIGHT, OSCAR",0,,
442,GREY HOUSE,0,,
443,GUTENBERG! THE MUSICAL!,0,,
444,HARMONY,0,,
445,HERE LIES LOVE,0,,
446,HOW TO DANCE IN OHIO,0,,
447,I NEED THAT,0,,
448,JAJA'S AFRICAN HAIR BRAIDING,0,,
449,LIFE OF PI,0,,
450,MELISSA ETHERIDGE: MY WINDOW,0,,
451,MERRILY WE ROLL ALONG,1,Best Revival of a Musical,2024
452,"NEW YORK, NEW YORK",0,,
453,ONCE UPON A ONE MORE TIME,0,,
454,PARADE,1,Best Revival of a Musical,2023
455,PETER PAN GOES WRONG,0,,
456,PICTURES FROM HOME,0,,
457,PRAYER FOR THE FRENCH REPUBLIC,0,,
458,PRIMA FACIE,0,,
459,PURLIE VICTORIOUS: A NON-CONFEDERATE ROMP THROUGH THE COTTON PATCH,0,,
460,SHUCKED,0,,
461,SPAMALOT,0,,
462,"SUMMER, 1976",0,,
463,SWEENEY TODD: THE DEMON BARBER OF FLEET STREET,0,,
464,THE COTTAGE,0,,
465,THE SHARK IS BROKEN,0,,
466,THE SIGN IN SIDNEY BRUSTEIN'S WINDOW,0,,
467,THE THANKSGIVING PLAY,0,,
468,A WONDERFUL WORLD: THE LOUIS ARMSTRONG MUSICAL,0,,
469,ALL IN: COMEDY ABOUT LOVE,0,,
470,CABARET AT THE KIT KAT CLUB,0,,
471,CULT OF LOVE,0,,
472,DAYS OF WINE AND ROSES,0,,
473,DEATH BECOMES HER,0,,
474,DOUBT: A PARABLE,0,,
475,EUREKA DAY,0,,
476,GYPSY,0,,
477,HELL'S KITCHEN,0,,
478,HOME,0,,
479,ILLINOISE,0,,
480,JOB,0,,
481,LEFT ON TENTH,0,,
482,LEMPICKA,0,,
483,MARY JANE,0,,
484,MAYBE HAPPY ENDING,0,,
485,MCNEAL,0,,
486,MOTHER PLAY,0,,
487,"OH, MARY!",0,,
488,ONCE UPON A MATTRESS,0,,
489,OUR TOWN,0,,
490,PATRIOTS,0,,
491,ROMEO + JULIET,0,,
492,STEREOPHONIC,1,Best Play,2024
493,SUFFS,0,,
494,SUNSET BLVD.,0,,
495,SWEPT AWAY,0,,
496,TAMMY FAYE,0,,
497,THE GREAT GATSBY,0,,
498,THE HEART OF ROCK AND ROLL,0,,
499,THE HILLS OF CALIFORNIA,0,,
500,THE NOTEBOOK,0,,
501,THE OUTSIDERS,1,Best Musical,2024
502,THE ROOMMATE,0,,
503,THE WHO'S TOMMY,0,,
504,THE WIZ,0,,
505,UNCLE VANYA,0,,
506,WATER FOR ELEPHANTS,0,,
507,YELLOW FACE,0,,
508,ART,0,,
509,BOOP! THE MUSICAL,0,,
510,BUENA VISTA SOCIAL CLUB,0,,
511,CALL ME IZZY,0,,
512,CHESS,0,,
513,DEAD OUTLAW,0,,
514,ENGLISH,0,,
515,FLOYD COLLINS,0,,
516,"GOOD NIGHT, AND GOOD LUCK",0,,
517,JOHN PROCTOR IS THE VILLAIN,0,,
518,JUST IN TIME,0,,
519,LIBERATION,0,,
520,LITTLE BEAR RIDGE ROAD,0,,
521,OEDIPUS,0,,
522,OPERATION MINCEMEAT: A NEW MUSICAL,0,,
523,OTHELLO,0,,
524,PIRATES! THE PENZANCE MUSICAL,0,,
525,PUNCH,0,,
526,PURPOSE,0,,
527,REAL WOMEN HAVE CURVES: THE MUSICAL,0,,
528,REDWOOD,0,,
529,SMASH,0,,
530,STEPHEN SONDHEIM'S OLD FRIENDS,0,,
531,STRANGER THINGS: THE FIRST SHADOW,0,,
532,THE LAST FIVE YEARS,0,,
533,THE PICTURE OF DORIAN GRAY,0,,
534,THE QUEEN OF VERSAILLES,0,,
535,WAITING FOR GODOT,0,,
