publication_id,name,total_reviews,up_count,meh_count,down_count,opening_window_reviews,first_review,last_review
5585,Time Out Chicago,3,3,0,0,0,2010-09-23,2014-07-07
6252,Star Ledger,3,3,0,0,0,2010-03-18,2014-01-20
7779,The L Magazine,3,1,1,1,1,2010-09-22,2012-01-30
8283,New York Press,3,1,0,2,3,2010-08-20,2011-02-18
59,Mashable,2,2,0,0,1,2026-04-12,2026-05-02
1088,Times Square Chronicles,2,2,0,0,1,2014-02-05,2025-04-04
2441,Time,2,2,0,0,0,1988-02-08,2008-11-03
2948,The New York Observer,2,1,0,1,2,2010-03-03,2019-12-16
3051,Metro Us,2,0,1,1,2,2012-06-02,2012-08-09
3346,Dc Metro Theater Arts,2,2,0,0,1,2014-08-01,2018-12-11
4299,New York Theatre Wire,2,1,1,0,1,2015-11-08,2015-11-15
5201,Portland Theatre Scene,2,1,1,0,0,2014-08-03,2014-08-22
5202,Seattle Times,2,1,1,0,0,2014-02-11,2014-07-28
5449,Berkshire On Stage And Screen,2,2,0,0,0,2014-07-27,2014-08-03
5583,Chicago Reader,2,2,0,0,0,2014-01-29,2014-07-09
6165,Central Jersey,2,2,0,0,1,2013-10-11,2014-01-23
6240,Tdf: A Theatre Magazine,2,2,0,0,1,2014-01-11,2014-02-02
6261,London Evening Standard,2,1,1,0,0,2014-01-24,2014-01-26
2242,City Beat,1,1,0,0,1,2022-11-17,2022-11-17
2456,Rolling Stone,1,0,1,0,1,2022-02-01,2022-02-01
3153,Ny1 News,1,0,1,0,1,2019-10-15,2019-10-15
3470,Theaterlife,1,1,0,0,0,2010-01-23,2010-01-23
3841,Journal News,1,1,0,0,0,2005-11-06,2005-11-06
4989,The Source,1,1,0,0,1,2014-11-18,2014-11-18
5009,Flavorpill,1,0,1,0,0,2014-11-17,2014-11-17
5275,The San Diego Union-tribune,1,0,1,0,0,2014-09-29,2014-09-29
5421,The Artery,1,0,1,0,1,2014-08-14,2014-08-14
5423,Harvard Magazine,1,1,0,0,1,2014-08-14,2014-08-14
5521,Life Upon The Sacred Stage,1,1,0,0,1,2014-07-23,2014-07-23
5539,National Review,1,1,0,0,1,2014-07-21,2014-07-21
5549,Theater Scene,1,0,1,0,0,2014-07-18,2014-07-18
5564,Express Uk,1,0,1,0,0,2014-04-11,2014-04-11
5573,The Fourth Walsh,1,1,0,0,0,2014-07-13,2014-07-13
5584,New City Stage,1,1,0,0,0,2014-07-08,2014-07-08
5740,Upon The Sacred Stage,1,1,0,0,0,2014-06-16,2014-06-16
5930,Out,1,1,0,0,1,2014-03-17,2014-03-17
5938,Sf Weekly,1,1,0,0,0,2014-02-24,2014-02-24
5940,Sf Gate,1,1,0,0,0,2014-03-19,2014-03-19
5949,Gay City News,1,1,0,0,0,2014-03-24,2014-03-24
6046,The Inquirer,1,1,0,0,0,2014-03-30,2014-03-30
6047,Phillymag.com,1,1,0,0,0,2014-03-28,2014-03-28
6048,Newsworks,1,1,0,0,0,2014-03-27,2014-03-27
6049,Broad Street Review,1,1,0,0,0,2014-03-28,2014-03-28
6058,Artes Magazine,1,0,1,0,0,2014-04-07,2014-04-07
6063,Front Row Center,1,1,0,0,0,2014-04-11,2014-04-11
6162,Asbury Park Press,1,1,0,0,1,2013-10-11,2013-10-11
6260,Metro Uk,1,1,0,0,0,2014-01-24,2014-01-24
6303,Eye On The Arts,1,1,0,0,0,2014-02-04,2014-02-04
6504,The Nation,1,1,0,0,0,2014-01-23,2014-01-23
6518,Vanguard Seattle,1,1,0,0,0,2014-02-04,2014-02-04
6519,Seattle Stage Review,1,0,1,0,0,2014-02-04,2014-02-04
6527,Newnownext,1,1,0,0,0,2013-12-31,2013-12-31
6534,Bushwick Daily,1,1,0,0,0,2014-02-04,2014-02-04
6537,Theaterlife.com,1,1,0,0,0,2014-02-12,2014-02-12
6541,Theatre's Leiter Side,1,0,0,1,0,2014-02-15,2014-02-15
6558,The Clyde Fitch Report. Arts. Politics. Discuss.,1,0,1,0,0,2013-03-20,2013-03-20
6610,Show Showdown,1,0,0,1,0,2014-03-06,2014-03-06
6750,The Villager,1,1,0,0,1,2012-05-31,2012-05-31
6916,Washington Examiner,1,1,0,0,1,2012-06-19,2012-06-19
7113,The Miami Herald,1,1,0,0,1,2013-02-20,2013-02-20
7374,Edge,1,1,0,0,0,2012-02-08,2012-02-08
7608,Orange County Register,1,0,1,0,0,2011-11-19,2011-11-19
7609,Pasadena Star-news,1,0,0,1,0,2011-11-23,2011-11-23
7612,Creative Loafing,1,0,1,0,0,2011-02-02,2011-02-02
7613,Atlanta In Town,1,1,0,0,0,2011-02-02,2011-02-02
7614,Arts Critic Atlanta,1,1,0,0,0,2011-01-30,2011-01-30
7645,San Francisco Chronicle,1,0,1,0,1,2011-08-09,2011-08-09
8515,New York Times Re-,1,1,0,0,0,2010-08-02,2010-08-02
8622,Vanity Fair,1,0,1,0,1,2010-11-18,2010-11-18
8779,Metromix,1,1,0,0,1,2010-09-22,2010-09-22
9149,Harper's Bazaar,1,1,0,0,0,2010-10-30,2010-10-30
9281,Broadwayspace.com,1,1,0,0,0,2014-04-22,2014-04-22
9468,The Insider,1,1,0,0,0,2008-03-09,2008-03-09
9616,The Gothamist,1,1,0,0,1,2010-03-25,2010-03-25
9652,New York Calling Theater,1,1,0,0,0,2010-03-18,2010-03-18
9939,Musicals 101,1,1,0,0,0,2009-03-01,2009-03-01
7,Unknown,0,0,0,0,0,,
