critic_id,name,primary_publication,total_reviews,up_count,meh_count,down_count,first_review,last_review
2423,Allison Adato,Entertainment Weekly,8,5,3,0,2017-03-12,2019-09-05
4027,Deirdre Donovan,Curtain Up,8,4,4,0,2011-01-07,2014-10-24
4114,Karl Levett,Backstage,8,5,2,1,2010-02-15,2012-06-21
4716,Michael Giltz,Huffington Post,8,4,2,2,2012-02-08,2014-11-11
4746,Peter Santilli,Associated Press,8,5,1,2,2011-01-05,2014-04-01
5803,Adam Markovitz,Entertainment Weekly,8,3,5,0,2011-04-05,2014-04-23
1435,Christian Holub,Entertainment Weekly,7,5,2,0,2022-04-14,2024-07-11
1621,Lester Fabian Brathwaite,Entertainment Weekly,7,6,1,0,2022-10-20,2024-04-17
2430,Dave Quinn,Nbc New York,7,6,1,0,2014-03-20,2014-11-20
3418,Jeremy Gerard,Bloomberg,7,5,2,0,2010-04-19,2013-10-06
3979,Brendan Lemon,Financial Times,7,4,1,2,2013-03-20,2014-09-21
5159,Eric J. Grimm,Theater Pizzazz,7,2,2,3,2014-03-19,2014-10-12
5520,Paulanne Simmons,Curtain Up,7,2,3,2,2010-07-20,2014-07-15
6508,Tulis McCall,New York Theatre Guide,7,4,2,1,2010-04-07,2014-01-16
7271,Martin Denton,Ny Theatre,7,5,1,1,2010-12-18,2012-03-01
8181,David Cote,Ny1,7,4,0,3,2010-02-09,2011-03-11
9222,,Ny Daily News,7,3,1,3,2007-03-22,2011-01-14
983,Lovia Gyarkye,HOLLYWOOD REPORTER,6,5,1,0,2022-02-01,2025-04-14
1242,,WASHINGTON POST,6,3,1,2,2011-03-24,2024-11-19
1967,A.D. Amorosi,VARIETY,6,5,0,1,2019-03-10,2023-06-01
2404,,La Times,6,2,3,1,2010-04-23,2014-04-22
2929,Marc Snetiker,Entertainment Weekly,6,4,2,0,2013-11-08,2018-10-22
3045,Barbara & Scott Siegel,THEATERMANIA,6,5,1,0,2010-03-08,2011-01-20
3059,Andy Propst,Backstage,6,3,3,0,2010-04-16,2012-06-11
3484,Steven Suskin,Huffington Post,6,4,2,0,2013-12-12,2017-12-12
3658,Ben Brantley,Ny Times,6,6,0,0,2016-10-19,2017-09-12
4595,Stephan Lee,Entertainment Weekly,6,2,3,1,2012-03-21,2014-04-21
4941,Molly Grogan,Village Voice,6,5,1,0,2013-12-11,2014-12-03
6190,Keith Staskiewicz,Entertainment Weekly,6,3,2,1,2012-04-25,2013-11-08
6751,Jason Fitzgerald,Backstage,6,3,1,2,2010-02-01,2012-05-31
7119,Clifford Lee Johnson III,Backstage,6,3,1,2,2010-07-12,2012-07-26
7314,Aubry D’Arminio,Entertainment Weekly,6,3,2,1,2011-03-12,2012-03-08
7882,Michael Kuchwara,Associated Press,6,6,0,0,2010-03-01,2010-04-26
64,Rachel Graham,THEATERMANIA,5,4,1,0,2024-04-18,2026-04-21
127,Richard Lawson,The Guardian,5,1,4,0,2025-12-08,2026-04-23
769,Elysa Gardner,New York Stage Review,5,2,2,1,2021-11-17,2025-09-28
1573,Christian Lewis,THEATERMANIA,5,3,1,1,2022-04-10,2024-04-23
2177,Marylin Stasio,VARIETY,5,4,1,0,2011-10-20,2022-12-20
2390,Diep Tran,BROADWAY NEWS,5,3,2,0,2022-04-03,2022-10-02
3068,Iris Greenberger,Show Business Weekly,5,5,0,0,2012-01-20,2014-05-11
3337,Breanne L. Heldman,Entertainment Weekly,5,1,4,0,2016-10-13,2018-04-23
3369,Barbara Schuler,Newsday,5,2,2,1,2017-08-10,2018-11-11
3373,Bob Verini,VARIETY,5,2,2,1,2011-03-06,2018-11-11
3800,Joe McGovern,Entertainment Weekly,5,3,2,0,2014-04-01,2017-03-16
5292,Ryan Hudak,New York Theatre Review,5,3,2,0,2014-01-17,2014-09-22
5355,Adrienne Urbanski,Theatre Is Easy,5,5,0,0,2012-04-02,2014-09-07
5557,Charles Spencer,Telegraph,5,4,0,1,2010-03-09,2014-07-10
6644,Lisa Schwarzbaum,Entertainment Weekly,5,3,1,1,2011-12-04,2012-12-02
6666,Jonathan Mandell,Backstage,5,1,3,1,2011-02-17,2012-07-14
6684,Mark Peikert,Backstage,5,1,1,3,2010-05-21,2012-06-04
6814,Andy Buck,THEATERMANIA,5,1,3,1,2010-05-05,2012-06-11
6829,Ron Cohen,Backstage,5,4,1,0,2010-07-18,2012-05-31
6850,,New Jersey Newsroom,5,3,1,1,2010-08-17,2012-05-17
7293,Alexis Soloski,Village Voice,5,4,0,1,2010-09-08,2012-02-09
7383,David Gordon,Ny Theatre,5,3,1,1,2010-10-21,2012-02-11
8526,John Simon,Bloomberg,5,2,1,2,2010-04-09,2010-11-04
54,Dave Quinn,People Magazine,4,1,2,1,2026-04-12,2026-04-26
149,Emily Nussbaum,NEW YORKER,4,4,0,0,2026-01-09,2026-04-24
255,Johnny Oleksinski,Ny Post,4,1,1,2,2022-04-25,2026-04-09
2444,Helen Shaw,NEW YORK MAGAZINE,4,2,2,0,2021-08-22,2021-10-14
2464,,NEW YORKER,4,0,2,2,2003-11-10,2014-06-22
2472,Ana Zambrana,DID THEY LIKE IT,4,2,1,1,2021-11-17,2022-06-07
2659,Ayanna Prescod,VARIETY,4,2,1,1,2021-10-10,2022-04-25
2979,David Cote,New York Observer,4,2,1,1,2019-10-17,2019-12-05
3054,Sandi Durell,Examiner,4,2,2,0,2011-01-18,2012-06-04
3088,Tanner Stransky,Entertainment Weekly,4,4,0,0,2009-11-22,2013-04-17
3304,Caitlin Brody,Entertainment Weekly,4,3,1,0,2016-04-28,2017-04-24
3414,Maya Stanton,Entertainment Weekly,4,4,0,0,2017-01-19,2017-04-27
3742,Sandy MacDonald,TIME OUT NEW YORK,4,3,0,1,2014-07-14,2017-05-15
4971,Rex Reed,New York Observer,4,4,0,0,2014-07-16,2014-10-07
5093,Susan Hasho,Theater Pizzazz,4,2,2,0,2014-02-21,2014-10-26
5115,Associated Press,Associated Press,4,3,0,1,2012-07-27,2013-04-25
5222,Tom Sellar,Village Voice,4,2,1,1,2012-02-15,2014-10-08
5250,JK Clarke,Theater Pizzazz,4,2,1,1,2014-02-05,2014-09-20
5515,Paul Taylor,The Independent,4,3,1,0,2014-07-01,2014-07-23
5516,Michael Billington,The Guardian,4,3,1,0,2010-03-10,2014-07-24
6319,STEVE PARKS,Newsday,4,2,1,1,2012-06-22,2014-02-24
6377,Ben Brantley,New York Times Original,4,2,1,1,2009-05-16,2013-05-10
6713,Lisa Jo Sagolla,Backstage,4,3,1,0,2010-11-23,2012-05-01
7331,Mitch Montgomery,Backstage,4,3,1,0,2010-07-08,2012-02-01
7406,David A. Rosenberg,Backstage,4,3,1,0,2011-01-12,2012-03-11
7465,Marrilyn Stasio,VARIETY,4,1,3,0,2011-09-11,2011-10-03
7802,Gregory Wilson,Curtain Up,4,0,1,3,2010-04-20,2012-02-02
2,Andrew Martini,THEATRELY,3,2,1,0,2025-03-20,2026-04-26
17,Thomas Floyd,WASHINGTON POST,3,3,0,0,2026-04-24,2026-05-06
66,Brent Lang,VARIETY,3,2,1,0,2026-04-06,2026-04-21
810,Meg Masseron,THEATERMANIA,3,3,0,0,2024-11-17,2025-04-27
2362,Jenna Scherer,TIME OUT NEW YORK,3,1,1,1,2013-11-21,2014-06-18
2494,Dave Quinn,Entertainment Weekly,3,2,1,0,2019-03-14,2022-04-26
2529,Alexis Soloski,The Guardian,3,1,2,0,2017-04-05,2022-06-07
2537,Andrea Towers,Entertainment Weekly,3,2,1,0,2022-04-04,2022-04-27
2568,Diep Tran,New York Theatre Guide,3,0,3,0,2022-04-25,2022-07-21
2804,Jesse Oxfeld,New York Stage Review,3,2,0,1,2021-08-22,2021-12-05
3074,Sandi Durell,Theater Pizzazz,3,3,0,0,2014-03-25,2014-10-13
3215,Jessica Derschowitz,Entertainment Weekly,3,1,2,0,2018-08-13,2019-03-10
3506,Matt Wolf,NEW YORK TIMES,3,1,2,0,2014-01-28,2018-04-19
3612,Ben Brantley,Access Atlanta,3,2,1,0,2014-04-17,2017-09-27
3623,Gordon Cox,VARIETY,3,2,1,0,2014-06-05,2017-04-13
3644,Chris Nashawaty,Entertainment Weekly,3,1,1,1,2012-04-11,2017-04-17
3762,Jesse Oxfeld,Entertainment Weekly,3,1,2,0,2016-05-25,2017-04-05
3859,Matt Windham,AM NEW YORK,3,2,1,0,2016-10-10,2016-10-27
4276,David Clarke,Broadway World,3,2,1,0,2014-10-14,2015-05-01
4622,,NEW YORK MAGAZINE,3,1,1,1,2001-10-18,2014-04-22
4743,Iris Wiener,THEATERMANIA,3,2,1,0,2010-09-28,2012-10-24
4749,Geri Silver,Theatre Is Easy,3,2,1,0,2014-04-05,2014-11-18
4893,Fern Siegel,Huffington Post,3,2,1,0,2014-10-16,2014-11-14
4928,Dave Osmundsen,Theatre Is Easy,3,1,2,0,2014-11-22,2014-12-13
4961,,Broadway Space,3,2,0,1,2008-10-05,2014-04-22
4991,Michael Block,Theater In The Now,3,3,0,0,2014-03-31,2014-11-18
5234,Jon Sobel,Blog Critics,3,3,0,0,2014-03-17,2014-09-15
5270,Molly Grogan,Exetunt,3,2,1,0,2014-01-07,2014-09-30
5293,Paulanne Simmons,Stage And Cinema,3,1,2,0,2014-03-11,2014-09-24
5324,Elizabeth Ahlfors,Theater Pizzazz,3,1,2,0,2014-06-15,2014-09-02
5554,Andrzej Lukowski,Time Out Uk,3,3,0,0,2014-01-24,2014-07-09
5569,Benjamin Coleman,Theatre Is Easy,3,2,1,0,2012-02-06,2014-07-15
5575,Hedy Weiss,Chicago Sun-times,3,2,0,1,2014-01-27,2014-07-13
5614,Jacob Horn,Curtain Up,3,1,2,0,2013-12-03,2014-06-27
5622,Daniel Gordon,THEATERMANIA,3,3,0,0,2013-11-22,2013-12-13
5698,Alix Cohen,Theater Pizzazz,3,1,2,0,2014-02-10,2014-06-23
5982,Judd Hollander,The Epoch Times,3,2,1,0,2012-10-24,2014-04-02
6003,Rochelle Denton,Ny Theater Now,3,2,1,0,2013-11-24,2014-04-06
6680,Wilborn Hampton,Huffington Post,3,2,0,1,2012-06-22,2012-10-24
6704,Michael Musto,Village Voice,3,2,0,1,2011-02-04,2012-04-29
6869,Jocelyn Noveck,Associated Press,3,3,0,0,2012-01-31,2012-04-29
6910,Associated Press,WASHINGTON POST,3,3,0,0,2012-06-03,2012-10-24
7666,Nicole Villeneuve,Backstage,3,1,1,1,2011-02-06,2012-01-22
7868,Pamela Newton,TIME OUT NEW YORK,3,1,1,1,2010-07-08,2012-03-13
8255,Jennifer Farrar,The Huffington Post,3,3,0,0,2009-11-24,2011-03-10
8572,,Talkin' Broadway,3,1,2,0,2008-12-07,2010-03-19
8584,Tom Penketh,Backstage,3,2,1,0,2010-05-26,2010-12-21
8774,Fern Siegel,The Huffington Post,3,2,1,0,2009-02-23,2010-10-15
9051,Paul Menard,TIME OUT NEW YORK,3,1,2,0,2010-07-23,2011-02-02
9493,Patrick Lee,THEATERMANIA,3,1,1,1,2009-06-04,2010-04-20
9500,Richard Patterson,Music Omh,3,1,2,0,2008-08-08,2010-03-06
59,Kristy Puchko,Mashable,2,2,0,0,2026-04-12,2026-05-02
69,Christian Lewis,New York Theatre Guide,2,2,0,0,2026-04-20,2026-04-21
84,Juan A. Ramirez,The Guardian,2,1,1,0,2026-04-19,2026-04-25
153,Dan Rubins,THEATERMANIA,2,0,1,1,2025-11-20,2026-04-25
226,Steve Suskin,New York Stage Review,2,1,1,0,2022-10-03,2026-04-16
295,Owen Gleiberman,VARIETY,2,1,1,0,2025-08-14,2026-03-30
301,Richard Lawson,HOLLYWOOD REPORTER,2,0,1,1,2025-11-16,2026-03-30
626,Helen Shaw,NEW YORKER,2,2,0,0,2025-03-20,2025-11-07
910,Kristen Baldwin,Entertainment Weekly,2,2,0,0,2018-04-08,2025-04-10
957,Maureen Lee Lenker,Entertainment Weekly,2,2,0,0,2022-05-02,2025-02-14
1090,Diane Snyder,Telegraph,2,0,2,0,2017-04-03,2025-04-04
1356,Trish Deitch,VARIETY,2,1,1,0,2024-04-24,2024-10-24
1382,Christopher Bonanos,VULTURE,2,2,0,0,2022-07-10,2024-08-12
1461,Nolan Boggess,THEATRELY,2,2,0,0,2024-07-11,2024-07-30
1866,Frank Sheck,HOLLYWOOD REPORTER,2,1,0,1,2018-04-25,2023-08-03
2256,Amanda Marie Miller,THEATRELY,2,2,0,0,2022-04-27,2022-11-27
2309,,VULTURE,2,0,2,0,2013-03-21,2022-10-03
2365,Greg Evans,VARIETY,2,2,0,0,1996-11-23,1997-11-13
2501,Juan Michael Porter II,New York Theatre Guide,2,1,1,0,2022-04-20,2022-04-26
2521,Rex Reed,Observer,2,2,0,0,2022-04-04,2022-04-26
3020,Dave Osmundsen,Stage Buddy,2,2,0,0,2014-07-24,2014-09-08
3076,Bess Rowen,Huffington Post,2,2,0,0,2012-02-14,2014-02-16
3205,Danny Groner,Huffington Post,2,2,0,0,2014-01-12,2014-01-16
3255,Jessica Shaw,Entertainment Weekly,2,2,0,0,2014-04-21,2019-04-18
3422,Nick Maslow,Entertainment Weekly,2,1,1,0,2018-03-15,2018-07-23
3488,David Canfield,Entertainment Weekly,2,1,1,0,2017-12-12,2018-01-11
3489,Jake Nevins,The Guardian,2,0,2,0,2017-08-10,2017-11-30
3833,BWW News Desk,Broadway World,2,2,0,0,2014-02-25,2017-02-01
3897,Charles Isherwood,Access Atlanta,2,1,1,0,2016-12-08,2016-12-08
4299,Charles Isherwood,New York Theatre Wire,2,1,1,0,2015-11-08,2015-11-15
4840,Jesse Green,NEW YORK MAGAZINE,2,2,0,0,2014-01-16,2014-03-30
4850,Kyle Anderson,Entertainment Weekly,2,0,1,1,2014-03-31,2014-10-26
4889,Esther Zuckerman,Entertainment Weekly,2,0,1,1,2014-11-17,2014-12-04
4945,Teddy Nicholas,Theatre Is Easy,2,1,1,0,2014-09-28,2014-12-14
5017,,Stage Buddy,2,2,0,0,2014-06-16,2014-11-21
5101,Linda Buchwald,Theatre Is Easy,2,0,2,0,2014-09-19,2014-10-30
5127,Sarah Weber,Theatre Is Easy,2,2,0,0,2014-10-09,2014-10-23
5157,Tami Shaloum,Stage Buddy,2,1,1,0,2014-10-08,2014-10-09
5174,Regina Robbins,Theatre Is Easy,2,2,0,0,2014-07-21,2014-10-13
5191,Marina Kennedy,Broadway World,2,2,0,0,2013-10-11,2014-10-08
5201,Win Goodbody,Portland Theatre Scene,2,1,1,0,2014-08-03,2014-08-22
5202,Misha Berson,Seattle Times,2,1,1,0,2014-02-11,2014-07-28
5243,Christopher Kompanek,TIME OUT NEW YORK,2,1,1,0,2014-08-05,2014-10-06
5252,Jack Mauro,Stage Buddy,2,2,0,0,2014-07-11,2014-09-16
5316,Curtis M. Wong,Huffington Post,2,1,1,0,2014-01-22,2014-09-15
5335,Michael Portantiere,Talkin' Broadway,2,1,1,0,2014-06-23,2014-09-15
5360,Lance Evans,Stage Buddy,2,2,0,0,2014-02-11,2014-09-09
5361,Victoria Teague,New York Theatre Review,2,2,0,0,2014-02-03,2014-09-07
5451,Don Aucoin,The Boston Globe,2,2,0,0,2012-04-30,2014-08-04
5506,Andrew Beck,Examiner,2,2,0,0,2012-04-27,2014-07-28
