review_id,show_title,opening_date,publication,critic,sentiment,review_date,is_opening_window,days_from_opening,is_nyt_critics_pick,excerpt,source
9373,vanities,1970-01-01,Afterelton,Terri Roberts,meh,2008-08-27,0,14118,,Jack Heifner was an unknown writer unsure of his direction in life when Vanities changed everything. The simple little three-scene story he wrote as an acting exercise for three women in his theatre company — only his second play — was workshopped at New York’s Playwrights Horizons in 1976 before officially opening two months later at the Chelsea Theater Center’s Westside Theatre. But the story of three girlfriends in Texas who go from cheerleaders to sorority sisters to independent women turned,dtli
9258,reasons to be pretty,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,"The complicated, often explosive relationships between men and women are a source of eternal, often contrary fascination for Neil LaBute, and they have been superbly realized in &quot;Reasons to Be Pretty,&quot; his most compassionate, appealing work to date.",dtli
9264,reasons to be pretty,1970-01-01,Associated Press,,up,2009-04-02,0,14336,,"""The complicated, often explosive relationships between men and women are a source of eternal, often contrary fascination for Neil LaBute, and they have been superbly realized in ""Reasons to Be Pretty,"" his most compassionate, appealing work to date.""",dtli
9323,Speed the Plow,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,"The bilious business of moviemaking remains as hilariously nasty as ever in David Mamet’s &quot;Speed-The-Plow,&quot; now two decades old but still packing heat in a sizzling revival which opened Thursday at Broadway’s Ethel Barrymore Theatre.",dtli
9766,9 to 5 broadway,1970-01-01,Associated Press,,meh,2014-04-22,0,16182,,Durn. You kinda want &quot;9 to 5: The Musical&quot; to be better than it is. Not that you won’t have fun at this stage version of the 1980 feminist revenge comedy that was a hit movie with an impossibly catchy title tune. It’s a certified crowd-pleaser.,dtli
9771,accent on youth broadway,1970-01-01,Associated Press,,meh,2014-04-22,0,16182,,"Older man. Younger woman. Boy, have playwrights been here before. Yet it’s amazing how much mileage playwright Samson Raphaelson got out of this well-worn plot device in &quot;Accent on Youth,&quot; a mild comedy of manners initially seen on Broadway in 1934.",dtli
9776,all my sons,1970-01-01,Associated Press,,meh,2014-04-22,0,16182,,"It’s not about Katie Holmes. Or even John Lithgow, Dianne Wiest or Patrick Wilson, for that matter.",dtli
9789,dividing the estate,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,"Nothing concentrates the mind like money — or lack of it. And money has provided the plot for more than a few plays, one good example being &quot;Dividing the Estate,&quot; Horton Foote’s hilariously perceptive take on what good old-fashioned greed does to one cash-strapped Texas family.",dtli
9799,desire under the elms broadway,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,Don’t look for elms on stage. There aren’t any. But desire is front and center in the blistering revival of Eugene O’Neill’s &quot;Desire Under the Elms&quot; that has barreled its way into Broadway’s St. James Theatre.,dtli
9804,impressionism broadway,1970-01-01,Associated Press,,down,2014-04-22,0,16182,,&quot;Impressionism&quot; is an elaborate if awkward romance _ positively brimming with self-importance _ and showcased in a setting that includes a parade of gorgeous photographic reproductions of famous paintings,dtli
9899,oleanna,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,"Get ready to be infuriated again. Or, at the very least, intrigued. The linguistic pyrotechnics of playwright David Mamet are on full display in the bruising Broadway revival of &quot;Oleanna,&quot; which opened Sunday at the Golden Theatre. It’s Mamet’s incendiary take on the consequences of political correctness — specifically involving sexual harassment — and how language helps to facilitate the battle.",dtli
9905,pal joey,1970-01-01,Associated Press,,up,2014-04-22,0,16182,,"Nearly 70 years after an unrepentant cad named Joey Evans first graced a Broadway stage in &quot;Pal Joey,&quot; he’s back, with his ambition and charm intact.",dtli
9909,the philanthropist,1970-01-01,Associated Press,,down,2014-04-22,0,16182,,"Philip, the title character in Christopher Hampton’s &quot;The Philanthropist,&quot; is enamored of words, words, words and more words. They are the downfall of this professor of philology, and, come to think of it, the problem with the Roundabout Theatre Company’s sleepy revival of this English comedy, which opened Sunday at its American Airlines Theatre.",dtli
1827,Jaja's African Hair Braiding,1970-01-01,BROADWAY NEWS,Brittani Samuel,up,2023-10-04,0,19634,,"“Jaja’s African Hair Braiding” is a refreshing, verbose play, crackling with vibrant characters and culturally-specific comedy — both signatures of playwright Jocelyn Bioh.",dtli
1838,Merrily We Roll Along,1970-01-01,BROADWAY NEWS,Naveen Kumar,up,2023-10-12,0,19642,,It’s no small wonder that this sensational revival manages to synthesize the famous flop’s unwieldy ambitions into a palpable hit .,dtli
2346,1776,1970-01-01,BROADWAY NEWS,Brittani Samuel,down,2022-10-06,0,19271,,"In this take on the musical — which is receiving its second revival from Roundabout Theatre Company (the first was in 1997) — an ethnically diverse chorale of women, trans and nonbinary performers are our revolutionaries. Unfortunately, this choice, which genuinely makes the sedative of a show more interesting to look at and listen to, further locks its subjects into binary stereotypes.",dtli
9784,a steady rain,1970-01-01,Backstage,,up,2014-04-22,0,16182,,"Though its plot sounds like one you might hear at a Hollywood pitch meeting, Keith Huff’s &quot;A Steady Rain&quot; offers one of the most powerful theatrical experiences in many seasons. This is mainly due to John Crowley’s tight direction and the masterful performances of a pair of movie hunks best known for their adventure capers. Daniel Craig and Hugh Jackman prove they are much more than James Bond and Wolverine in this heavyweight smackdown.",dtli
9800,desire under the elms broadway,1970-01-01,Backstage,,up,2014-04-22,0,16182,,"As he did with his groundbreaking 1999 revival of Death of a Salesman, Robert Falls shatters expectations and forces us to rethink an American classic. His new production of Eugene O’Neill’s 1924 Desire Under the Elms, now on Broadway after a run at Chicago’s Goodman Theatre, defies popular conceptions of the play and O’Neill’s work in general. This is not one of O’Neill’s most frequently produced plays. If not staged properly, its thick plot of oedipal passions exploding on a 19th-century New E",dtli
9902,oleanna,1970-01-01,Backstage,,up,2014-04-22,0,16182,,"When David Mamet’s &quot;Oleanna,&quot; in which a female student wrongly accuses a professor of sexual harassment, opened Off-Broadway in 1992, it was shocking and incendiary but pretty much a one-sided battle.",dtli
9355,absinthe,1970-01-01,Best Of Off-broadway,Rebecca Lewis-Whitson,up,2008-09-07,0,14129,,It won’t matter if the subway doors close on you as you’re trying to board the 6 train and an air conditioner drips liberally on your head from the fourth floor of an apartment as you walk down Broadway moments before a taxi blares it’s horn and speeds past you while you have the walk signal; the experience of going to a show like Absinthe reminds you just how much you love living in New York City.,dtli
9376,vanities,1970-01-01,Curtain Up,Laura Hitccock,meh,2009-09-02,0,14489,,"The musical version of Jack Heifner’s 1975 play received an unexpected boost from the zeitgeist this week when the appointment of John McCain’s 44-year-old Vice-Presidential candidate, Alaska Governor Sarah Palin, sucked the breath out of the airwaves. Going from network news to The Pasadena Playhouse may seem like a stretch but Heifner showed just as much interest in exploring Fascinating Womanhood as CNN.",dtli
1839,Merrily We Roll Along,1970-01-01,DEADLINE,Greg Evans,up,2023-10-10,0,19640,,,dtli
2344,1776,1970-01-01,DID THEY LIKE IT,Christian Lewis,meh,2022-10-06,0,19271,,"The diversity of this cast is astonishing and worthy of celebration. I am overjoyed that these performers are getting paid, getting work, and getting to be on Broadway, many of them for the first time. I hope to see many more ensembles like this in the future.

Having said that, beyond the cast, there was little I was able to enjoy in this production.",dtli
1833,Jaja's African Hair Braiding,1970-01-01,Entertainment Weekly,Emlyn Travis,up,2023-10-03,0,19633,,"Bioh breathes both joy and grief into these women within her stellar script, giving them each their own distinct personalities and lived-in experiences.",dtli
9769,9 to 5 broadway,1970-01-01,Entertainment Weekly,,meh,2014-04-22,0,16182,,"It’s almost a surprise that Dolly Parton has never written music and lyrics for a Broadway musical before 9 to 5, adapted from the 1980 film in which she co-starred. There’s always been a theatrical quality to her lengthy catalog of hits, each one a showstopper meant to be belted out to the last row of whatever venue she’s playing. That said, 9 to 5 itself isn’t as immediately obvious a fit for Broadway. The original film is a hilarious but dark satire of sexism in the workplace, laced with edgy",dtli
9261,reasons to be pretty,1970-01-01,HOLLYWOOD REPORTER,,up,2014-04-22,0,16182,,"Playwright/provocateur Neil LaBute has explored our obsession with physical appearance and the way it wreaks havoc on relationships in such works as &quot;Fat Pig&quot; and &quot;The Shape of Things.&quot; But &quot;reasons to be pretty,&quot; the third entry in this unofficial trilogy, cuts even deeper than its predecessors. Marking the playwright’s belated Broadway debut, this lacerating and extremely funny work should appeal to younger theatergoers especially.",dtli
9267,reasons to be pretty,1970-01-01,HOLLYWOOD REPORTER,,up,2009-04-02,0,14336,,"""Playwright/provocateur Neil LaBute has explored our obsession with physical appearance and the way it wreaks havoc on relationships in such works as ""Fat Pig"" and ""The Shape of Things."" But ""reasons to be pretty,"" the third entry in this unofficial trilogy, cuts even deeper than its predecessors. Marking the playwright’s belated Broadway debut, this lacerating and extremely funny work should appeal to younger theatergoers especially.""",dtli
9772,accent on youth broadway,1970-01-01,HOLLYWOOD REPORTER,,down,2014-04-22,0,16182,,"&quot;Accent on Youth&quot; is a 75-year-old play, and with its new Broadway revival it looks every bit its age. This mild drawing-room comedy by Samson Raphaelson — better known for such efforts as &quot;The Jazz Singer&quot; (it was a play before it was the 1927 movie) and the screenplays for &quot;Trouble in Paradise&quot; and &quot;The Shop Around the Corner&quot; — feels like a bottle of champagne that’s long lost its fizz.",dtli
3841,Jersey Boys,1970-01-01,Journal News,,up,2005-11-06,0,13093,,"Don’t count the ""jukebox musical"" out yet: A new one called Jersey Boys opened last night at the August Wilson Theatre on Broadway, and it should run for about 20 years. This time the group being celebrated is Frankie Valli and the Four Seasons.",dtli
9783,a steady rain,1970-01-01,La Times,,meh,2014-04-22,0,16182,,"That roar swelling over Broadway these days is the sound of fans lined up behind police barricades at the stage door for &quot;A Steady Rain.&quot; This is the play — make that event — that opened Tuesday at the Gerald Schoenfeld Theatre, with Hugh Jackman (Wolverine of the “X-Men” franchise) and Daniel Craig (of the James Bond club) joining forces in a marquee match-up of movie stars, whose stage muscles turn out to be every bit as ripped as their adored physiques.",dtli
2353,1776,1970-01-01,NEW YORK POST,Johnny Oleksinski,down,2022-10-06,0,19271,,"Stone’s book is also, as evidenced by the frustrating new revival of the show that opened Thursday night on Broadway , absolutely ironclad — and able to stand up to pointless, auteurist, burdensome, woke concepts like the one on display at the American Airlines Theatre.",dtli
9794,guys and dolls,1970-01-01,NEW YORK POST,,down,2014-04-22,0,16182,,"Like Adelaide, the nightclub entertainer who provides the sweet, klutzy emotional center of &quot;Guys and Dolls,&quot; theatergoers are used to thwarted hopes. Adelaide (Lauren Graham) has been engaged to Nathan Detroit (Oliver Platt), a two-bit shyster running a crap game around Times Square, for 14 years.",dtli
1826,Jaja's African Hair Braiding,1970-01-01,NEW YORK TIMES,Jesse Green,up,2023-10-03,0,19633,,"“Jaja’s” is full of such treasurable moments, when the drama feels tightly woven with the comedy. And if the weave frays a bit at the end, what doesn’t? Like the Strawberry Knotless Afro-Pop Bob, it’s still a great look.",dtli
1837,Merrily We Roll Along,1970-01-01,NEW YORK TIMES,Jesse Green,up,2023-10-10,0,19640,,"Maria Friedman’s unsparing direction and a thrillingly fierce central performance by Jonathan Groff have given the show the hard shell it lacked. Now heartbreaking in the poignant sense only, “Merrily” has been found in the dark.",dtli
2345,1776,1970-01-01,NEW YORK TIMES,Jesse Green,meh,2022-10-06,0,19271,,"If that sort of complication were itself great theater and not just a promising premise, this “1776” might be amazing. That the production is instead so overpumped and overplayed as to be hardly comprehensible is the result of a fundamental misunderstanding of the musical, which is plenty complicated as written — if not so much in its few and often trite songs, by Sherman Edwards, then at least in Peter Stone’s book, a masterpiece of condensation without diminishment.",dtli
3615,Simpatico,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2017-09-26,0,17435,,,dtli
3836,Jersey Boys,1970-01-01,NEW YORK TIMES,,meh,2014-04-22,0,16182,,"The real thrill, at least for those who want something more than recycled chart toppers and a story line poured from a can, is that Mr. Young (Frankie Valli) has crossed the line from exact impersonation into something more compelling.",dtli
9257,reasons to be pretty,1970-01-01,NEW YORK TIMES,,up,2014-04-22,0,16182,,"Neil LaBute has never been the guy to go to if you’re looking to get all misty eyed. The savagely comic work of this dramatist and screenwriter — whose credits include the plays “bash” and “Fat Pig” and the film “In the Company of Men” — has always been more likely to elicit flinching, wincing, recoiling in repugnance and gasping (or smiling cynically) at the perfidy of the human beast.",dtli
9262,reasons to be pretty,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2008-06-03,0,14033,,"A firestorm of abuse and invective, hot enough to scald the hide off a thick-skinned man, blasts through the opening minutes of “Reasons to Be Pretty,” the surprising new play by Neil LaBute that opened Monday night in a superbly acted production at the Lucille Lortel Theater.",dtli
9263,reasons to be pretty,1970-01-01,NEW YORK TIMES,,up,2009-04-02,0,14336,,"""Neil LaBute has never been the guy to go to if you’re looking to get all misty eyed. The savagely comic work of this dramatist and screenwriter — whose credits include the plays “bash” and “Fat Pig” and the film “In the Company of Men” — has always been more likely to elicit flinching, wincing, recoiling in repugnance and gasping (or smiling cynically) at the perfidy of the human beast.""",dtli
9309,jump,1970-01-01,NEW YORK TIMES,Jason Zinoman,meh,2007-10-08,0,13794,,"The Union Square Theater is carving out a niche as a home for a kind of barely verbal foreign import that has become a standard feature of the Off Broadway menu. These high-energy spectacles — the offspring of hits like “Stomp” and “Blue Man Group” — are sometimes called events or experiences, and audiences are usually told that the shows are a sensation somewhere very far away.",dtli
9320,Speed the Plow,1970-01-01,NEW YORK TIMES,,up,2014-04-22,0,16182,,"Is it too late to send a thank you note to Jeremy Piven? This indisputably talented actor has been heaped with scorn and ridicule since he ducked out early (in December) on his contract for the Broadway revival of David Mamet’s “Speed-the-Plow.” While the show’s producers have filed a grievance against Mr. Piven with the Actors Equity Association, I — in the forgiving spirit of a new American era — would like to point out the blessings that have arrived with his departure.",dtli
9325,the story of my life,1970-01-01,NEW YORK TIMES,Ben Brantley,down,2009-02-20,0,14295,,"Now is exactly the time for a small and simple musical to conquer the glitzy behemoth called Broadway. Think of the relief that recession-scorched theater producers — tired of wasting cash on elaborately decorated chorus lines and dancing scenery — would feel if they learned that the new recipe for success was nothing more than the following: a short, modest human-interest story, some sentimental songs, a gifted cast of two and an almost naked set.",dtli
9340,soul of shaolin,1970-01-01,NEW YORK TIMES,Charles Isherwood,meh,2009-01-16,0,14260,,"Who says nothing new ever happens on Broadway? We are merely days into the new year and I have a fresh sensation to report. The other evening at the Marquis Theater I sat squirming in my seat, possessed by anxiety that I might at any moment be hit by a flying monk.",dtli
9353,absinthe,1970-01-01,NEW YORK TIMES,Rachel Saltz,meh,2008-08-18,0,14109,,"Yes, there’s an R-rated stripper and a foul-mouthed M.C. with a lumpy stuffed crotch. But for all its lip service to decadence, “Absinthe,” the naughty circus-meets-burlesque show in the Spiegeltent at Pier 17, succeeds best at its most innocent.",dtli
9362,disco pigs,1970-01-01,NEW YORK TIMES,Charles Isherwood,up,2008-09-12,0,14134,,A glossary would be a useful aid in conducting a conversation with most adolescents — online or off — but still more supplementary assistance would definitely be needed to catch every nuance of the febrile exchanges between the teenagers . . .,dtli
9363,adding machine,1970-01-01,NEW YORK TIMES,Charles Isherwood,up,2008-02-26,0,13935,,"Do those sunny Broadway songfests make you want to gag? Would you rather go to the dentist than come to the cabaret, old chum? Maybe you secretly think that “Spring Awakening” is too treacly, despite the teenage sex-and-suicide angle?",dtli
9368,geometry of fire,1970-01-01,NEW YORK TIMES,Charles Isherwood,meh,2008-11-25,0,14208,,"An Iraq war veteran struggles to integrate back into a world that has no place for him in “Geometry of Fire,” a low-key drama by Stephen Belber that opened on Monday night at the Rattlestick Playwrights Theater.",dtli
9369,the grand inquisitor,1970-01-01,NEW YORK TIMES,Ben Brantley,meh,2008-10-30,0,14182,,"A flash of gold gleams briefly, an unexpected burst of warmth among the chilly palette of gray, black and white that dominates Peter Brook’s severe production of “The Grand Inquisitor,” which opened Wednesday night at the New York Theater Workshop. This source of precious light is a small crucifix, an object you would expect to find in the hand of the man who holds it, a cardinal of the Roman Catholic Church and the play’s title character.",dtli
9370,in conflict,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2008-09-25,0,14147,,"It’s possible that no cast on or off Broadway these days shares fewer professional stage credits than the young ensemble of “In Conflict,” a sober and very affecting docudrama about veterans of the war in Iraq.",dtli
9372,vanities,1970-01-01,NEW YORK TIMES,Charles Isherwood,meh,2009-07-17,0,14442,,"Alert Malcolm Gladwell. There’s some startling news on the sociology front. It appears that cheerleaders, those sparkling “it” girls both worshiped and envied at high schools across America, do not all grow up to live charmed lives in the post-pompom years.",dtli
9378,happiness,1970-01-01,NEW YORK TIMES,Ben Brantley,down,2009-03-31,0,14334,,"Anyone who travels regularly by New York subway has experienced a moment when your heart lurches along with the train as it slams to a stop between stations. You tell yourself to stay cool and that you’ll be moving again soon, but a panicked little voice inside keeps whispering, “You’ll never get out of here.”",dtli
9765,9 to 5 broadway,1970-01-01,NEW YORK TIMES,Ben Brantley,down,2009-05-01,0,14365,,"Give some credit to “9 to 5” — the overinflated whoopee cushion lodged at the Marquis Theater — for bucking this spring’s fashion trends. Can this gaudy, empty musical really be part of the same Broadway season that gave us the minimally decorated, maximally effective “Exit the King,” “God of Carnage,” “Next to Normal,” “Hair,” “Mary Stuart” and “Norman Conquests”?",dtli
9770,accent on youth broadway,1970-01-01,NEW YORK TIMES,Charles Isherwood,meh,2009-04-30,0,14364,,"Age has not exactly withered “Accent on Youth,” a 1934 comedy by Samson Raphaelson about the storms besetting a May-December romance in the theater world. But it has not done this personable but minor play any great favors either.",dtli
9775,all my sons,1970-01-01,NEW YORK TIMES,Ben Brantley,down,2008-10-17,0,14169,,"There are four names above the title in the ads for the baleful new Broadway revival of Arthur Miller’s ""All My Sons."" Three of them are reasonably well known to the regular theater and moviegoers",dtli
9780,a steady rain,1970-01-01,NEW YORK TIMES,Ben Brantley,meh,2009-09-30,0,14517,,"""A Steady Rain,” which opened on Tuesday night at the Gerald Schoenfeld Theater, is probably best regarded as a small, wobbly pedestal on which two gods of the screen may stand in order to be worshiped. Not that Daniel Craig and Hugh Jackman are striking Olympian poses in Keith Huff’s 90-minute, two-character melodrama, directed by John Crowley. On the contrary, playing a couple of all-too-human Chicago cops whose friendship is direly tested, these strapping actors work hard to tamp down associa",dtli
9785,cirque dreams: jungle fantasy,1970-01-01,NEW YORK TIMES,,meh,2014-04-22,0,16182,,"Cirque Dreams,” a stunts-and-spandex spectacular that opened Thursday night at the Broadway Theater, is ideally suited for children ages 6 to 12 with an advanced interest in either jungle fauna, gymnastics or sequins.",dtli
9788,dividing the estate,1970-01-01,NEW YORK TIMES,,up,2014-04-22,0,16182,,"You probably have one in your family. And the odds are that he or she is making a lot of noise right now. I mean the kind of person who, when the going gets tough, is transformed from a respectable-looking grown-up into a greedy, caterwauling 4-year-old, convinced that everyone else is getting a bigger slice of what’s left of the cake.",dtli
9793,guys and dolls,1970-01-01,NEW YORK TIMES,,down,2014-04-22,0,16182,,"Certain words, in certain contexts, are best left unspoken. In Des McAnuff’s uninspired new revival of “Guys and Dolls” at the Nederlander Theater that word happens to be “chemistry.” It is dropped — with a thud and a shatter — and hovers for the rest of the evening like a neon-lighted reproach.",dtli
9798,desire under the elms broadway,1970-01-01,NEW YORK TIMES,,up,2014-04-22,0,16182,,"A lust for sex and a lust for real estate are familiar passions to many, notwithstanding the plummeting co-op market and those libido-dampening Dow numbers. But these primal drives take on an eerie, entrancing strangeness in the gutsy revival of Eugene O’Neill’s “Desire Under the Elms” that opened Monday night at the St. James Theater. Portraying a stepmother and stepson doomed to enact a feverish, erotic dance that will ultimately destroy them, Carla Gugino and Pablo Schreiber fight like tigers",dtli
9803,impressionism broadway,1970-01-01,NEW YORK TIMES,,down,2014-04-22,0,16182,,"Pithy little life lessons keep coming at you in Michael Jacobs’s “Impressionism,” as if off a conveyor belt in a greeting card factory. But the one most immediately relevant to this undernourished play, which stars an ill-used Jeremy Irons and Joan Allen, has to do with looking at life as if it were an Impressionist painting. As Katharine Keenan (Ms. Allen), the owner of an art gallery, puts it, none too academically: “You can’t get it when it’s right in front of you. You have to step back.”",dtli
9808,legally blonde,1970-01-01,NEW YORK TIMES,Ben Brantley,meh,2007-04-30,0,13633,,"Flossing between songs is recommended for anyone who attends Legally Blonde , the nonstop sugar rush of a show that opened last night at the Palace Theater, joining the ranks of such nearby temples to candy worship as the M&M and Hershey’s theme stores.",dtli
9818,les liaisons dangereuses,1970-01-01,NEW YORK TIMES,,meh,2014-04-22,0,16182,,"Hedonism becomes a gravitational force in Ben Daniels’s compelling turn as an 18th-century libertine in Les Liaisons Dangereuses , which opened Thursday night in an eye-filling, very imbalanced revival at the American Airlines Theater.",dtli
9823,the little mermaid,1970-01-01,NEW YORK TIMES,,down,2014-04-22,0,16182,,"Directed by Francesca Zambello, this Little Mermaid burdens its performers with ungainly guess-what-I-am costumes (by Tatiana Noginova) and a distracting set (by George Tsypin) . . .",dtli
9842,shipwrecked,1970-01-01,NEW YORK TIMES,Charles Isherwood,up,2009-02-10,0,14285,,"The Pulitzer Prize-winning playwright Donald Margulies scampers to the defense of good old-fashioned yarn spinning with “Shipwrecked!” The breathless story of a Victorian gentleman whose colorful past as a seafaring wanderer springs to life like a theatrical pop-up book, this kid-friendly comedy opened on Sunday night at the 59E59 Theaters in a Primary Stages production.",dtli
9873,ruined,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2009-02-11,0,14286,,"Patrons are asked to leave their bullets at the bar in the Congolese brothel that is the setting for “Ruined,” the strong and absorbing new play by Lynn Nottage at the Manhattan Theater Club. Mama Nadi (Saidah Arrika Ekulona) runs a cozy little whorehouse — one of the cleanest and safest places in the area — and she’s determined to keep it that way. That means no bullets, no brawling, no unwashed hands and no talk of the civil war being waged in the rain forest outside.",dtli
9884,"len, asleep in vinyl",1970-01-01,NEW YORK TIMES,Anita Gates,up,2008-06-06,0,14036,,"Picture Michael Douglas in the film “Wonder Boys,” unkempt and used up, though once brilliant and vital. Then imagine (or remember) Goldie Hawn 40 years ago, in her young and kooky mode, possibly kooky to the point of danger.",dtli
9885,opening night,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2008-12-04,0,14217,,"The walls come tumbling down in “Opening Night,” Ivo van Hove’s wild and woolly stage version of the 1977 John Cassavetes movie about a Broadway-bound play in crisis. It’s not just the fabled, much-chipped-away fourth wall — the invisible barrier between actors and audience — that collapses at the Harvey Theater of the Brooklyn Academy of Music, where this exhilaratingly acted, Dutch-speaking production from Toneelgroep Amsterdam and NTGent runs through Saturday as part of the Next Wave Festival",dtli
9886,port authority,1970-01-01,NEW YORK TIMES,Ben Brantley,up,2008-05-22,0,14021,,"Words are sharp, shiny hooks in the monologues of the Irish playwright Conor McPherson. They attract and snag the attention, snaring it at least until the language stops, and usually well after that. Give those words to actors who know how to cast a line, and you’ll find an audience helplessly captive.",dtli
9892,lady,1970-01-01,NEW YORK TIMES,Anita Gates,up,2008-09-10,0,14132,,"There are two absent characters at the start of Craig Wright’s “Lady”: a dog (the title character), who loves to run, be called a good girl and eat Pop-Tarts, and a 40-ish politician, Graham, who is pro-Bush, pro-Cheney and pro-war",dtli
