year,title,won,source_type,is_original,confidence,note
2021,Moulin Rouge! The Musical,1,film,0,med,2001 film (jukebox score).
2021,Jagged Little Pill,0,jukebox,0,high,Alanis Morissette album.
2021,Tina: The Tina Turner Musical,0,jukebox,0,high,Tina Turner bio-jukebox.
2022,A Strange Loop,1,original,1,high,Original (Michael R. Jackson).
2022,Girl from the North Country,0,jukebox,0,high,Bob Dylan catalogue.
2022,MJ,0,jukebox,0,high,Michael Jackson bio-jukebox.
2022,Mr. Saturday Night,0,film,0,high,1992 film.
2022,Paradise Square,0,original,1,low,Evolved from 'Hard Times'; adapts Stephen Foster melodies — edge case.
2022,SIX: The Musical,0,original,1,high,Tudor history (public domain) + original pop score.
2023,Kimberly Akimbo,1,literary,0,med,Adapts David Lindsay-Abaire's own 2001 play.
2023,& Juliet,0,jukebox,0,high,Max Martin pop catalogue.
2023,"New York, New York",0,film,0,med,1977 film / Kander & Ebb.
2023,Shucked,0,original,1,high,Original.
2023,Some Like It Hot,0,film,0,high,1959 film.
2024,The Outsiders,1,literary,0,high,S.E. Hinton 1967 novel (and 1983 film).
2024,Hell's Kitchen,0,jukebox,0,high,Alicia Keys catalogue (semi-autobiographical).
2024,Illinoise,0,jukebox,0,high,Sufjan Stevens album.
2024,Suffs,0,original,1,high,Suffrage history original.
2024,Water for Elephants,0,literary,0,high,Sara Gruen novel.
2025,Maybe Happy Ending,1,original,1,high,Original (Korean musical).
2025,Buena Vista Social Club,0,jukebox,0,high,Bio-jukebox (real musicians/catalogue).
2025,Dead Outlaw,0,original,1,high,Original score; true story of Elmer McCurdy.
2025,Death Becomes Her,0,film,0,high,1992 film.
2025,Operation Mincemeat,0,original,1,med,Original British musical on WWII history (predates the 2021 film).
2026,Schmigadoon!,1,tv,0,med,Apple TV+ series (itself a golden-age-musical parody). Winner per 2026 ceremony coverage. PARTIAL year.
2026,Titanique,0,jukebox,0,med,Celine Dion catalogue + Titanic film parody. PARTIAL year.
2026,Two Strangers (Carry a Cake Across New York),0,original,1,med,Original British musical. PARTIAL year.
