id,award,ceremony_year,air_date,network,host,viewers_m,measurement,confidence,source_key,notes
16,Tony,2025,2025-06-08,CBS,Cynthia Erivo,4.85,linear,high,deadline,CORRECTED: 4.85M is the CBS Live+Same-Day LINEAR average — most-watched Tonys since 2019; +38% vs 2024. (Earlier this cell was mis-tagged 'xplat' and wrongly excluded from the trend.)
17,Tony,2025,2025-06-08,CBS,Cynthia Erivo,5.1,xplat,high,thewrap,Across-platforms incl. Paramount+ (streaming +208% YoY). NOT comparable to the linear series — excluded from the clean trend.
18,Tony,2026,2026-06-07,CBS,Pink,,linear,pending,pending,Aired 2026-06-07. Official next-day Nielsen viewership NOT released as of 2026-06-08; awaiting trade-press report. Update this row when published.
19,Oscars,2014,2014-03-02,ABC,Ellen DeGeneres,43.74,linear,high,statista,12 Years a Slave / Gravity year.
20,Oscars,2015,2015-02-22,ABC,Neil Patrick Harris,37.26,linear,high,statista,
21,Oscars,2016,2016-02-28,ABC,Chris Rock,34.43,linear,high,statista,#OscarsSoWhite year.
22,Oscars,2017,2017-02-26,ABC,Jimmy Kimmel,32.94,linear,high,statista,La La Land/Moonlight envelope mix-up.
23,Oscars,2018,2018-03-04,ABC,Jimmy Kimmel,26.5,linear,high,statista,
24,Oscars,2019,2019-02-24,ABC,(no host),29.56,linear,high,statista,Green Book wins; hostless bump.
25,Oscars,2020,2020-02-09,ABC,(no host),23.64,linear,high,statista,Parasite.
26,Oscars,2021,2021-04-25,ABC,(no host),10.4,linear,high,statista,"Pandemic, Union Station; all-time low."
27,Oscars,2022,2022-03-27,ABC,Schumer/Hall/Sykes,16.62,linear,high,statista,The 'slap' year.
28,Oscars,2023,2023-03-12,ABC,Jimmy Kimmel,18.76,linear,high,statista,Everything Everywhere All at Once.
29,Oscars,2024,2024-03-10,ABC,Jimmy Kimmel,19.5,linear,high,cbsnews,Oppenheimer; 4-year high.
30,Oscars,2025,2025-03-02,ABC,Conan O'Brien,19.69,linear,high,variety,Nielsen incl. digital; 5-year high.
31,Emmys,2014,2014-08-25,NBC,Seth Meyers,15.6,linear,med,statista,
32,Emmys,2015,2015-09-20,FOX,Andy Samberg,11.9,linear,med,statista,
33,Emmys,2016,2016-09-18,ABC,Jimmy Kimmel,11.38,linear,med,statista,
34,Emmys,2017,2017-09-17,CBS,Stephen Colbert,11.4,linear,med,thr,
35,Emmys,2018,2018-09-17,NBC,Che/Jost,10.17,linear,high,deadline,Then-record low; NFL counterprogramming.
36,Emmys,2019,2019-09-22,FOX,(no host),6.9,linear,high,statista,
37,Emmys,2020,2020-09-20,ABC,Jimmy Kimmel,6.36,linear,high,statista,Virtual / pandemic.
38,Emmys,2021,2021-09-19,CBS,Cedric the Entertainer,7.4,linear,med,variety,
39,Emmys,2022,2022-09-12,NBC,Kenan Thompson,5.92,linear,high,variety,
40,Emmys,2023,2024-01-15,FOX,Anthony Anderson,4.3,linear,high,thr,Strike-delayed to Jan 2024; all-time low.
41,Emmys,2024,2024-09-15,ABC,Eugene/Dan Levy,6.9,linear,high,variety,+54% off the Jan low.
42,Emmys,2025,2025-09-14,CBS,Nate Bargatze,7.4,linear,med,axios,4-year high.
43,Grammys,2010,2010-01-31,CBS,(no host),25.8,linear,med,chartdata,
44,Grammys,2011,2011-02-13,CBS,(no host),26.5,linear,med,chartdata,
45,Grammys,2012,2012-02-12,CBS,LL Cool J,39.9,linear,high,chartdata,Whitney Houston died the night before — anomalous spike.
46,Grammys,2013,2013-02-10,CBS,LL Cool J,28.4,linear,med,chartdata,
47,Grammys,2014,2014-01-26,CBS,LL Cool J,28.5,linear,med,chartdata,
48,Grammys,2015,2015-02-08,CBS,LL Cool J,25.3,linear,med,chartdata,
49,Grammys,2016,2016-02-15,CBS,LL Cool J,24.95,linear,med,chartdata,
50,Grammys,2017,2017-02-12,CBS,James Corden,26.1,linear,med,chartdata,
51,Grammys,2018,2018-01-28,CBS,James Corden,19.8,linear,med,chartdata,
52,Grammys,2019,2019-02-10,CBS,Alicia Keys,19.9,linear,med,chartdata,
53,Grammys,2020,2020-01-26,CBS,Alicia Keys,18.7,linear,high,chartdata,Kobe Bryant died that day.
54,Grammys,2021,2021-03-14,CBS,Trevor Noah,9.2,linear,high,chartdata,Pandemic; all-time low.
55,Grammys,2022,2022-04-03,CBS,Trevor Noah,9.6,linear,high,chartdata,Moved to Las Vegas.
56,Grammys,2023,2023-02-05,CBS,Trevor Noah,12.5,linear,high,chartdata,
57,Grammys,2024,2024-02-04,CBS,Trevor Noah,16.9,linear,high,chartdata,Post-pandemic high.
58,Grammys,2025,2025-02-02,CBS,Trevor Noah,15.4,linear,high,thewrap,
59,Grammys,2026,2026-02-01,CBS,Trevor Noah,14.4,linear,high,thr,Final year on CBS.
60,SAG,2013,2013-01-27,TNT/TBS,,5.2,linear,med,showbuzz,Modern peak (~5.2M).
61,SAG,2014,2014-01-18,TNT/TBS,,4.6,linear,med,statista,
62,SAG,2015,2015-01-25,TNT/TBS,,4.0,linear,low,statista,Mid-decade figures vary by source.
63,SAG,2016,2016-01-30,TNT/TBS,,2.7,linear,low,statista,Non-monotonic vs 2017 in some sources — flagged.
64,SAG,2017,2017-01-29,TNT/TBS,,3.9,linear,low,statista,
65,SAG,2018,2018-01-21,TNT/TBS,,2.7,linear,med,statista,
66,SAG,2019,2019-01-27,TNT/TBS,,2.7,linear,med,statista,
67,SAG,2020,2020-01-19,TNT/TBS,,2.0,linear,high,statista,Nielsen ~2.0M.
68,SAG,2021,2021-04-04,TNT/TBS,,0.96,linear,high,variety,One-hour pre-taped pandemic special; record low (957k).
69,SAG,2022,2022-02-27,TNT/TBS,,1.8,linear,high,deadline,Last traditional TNT/TBS telecast (avg 1.8M).
70,SAG,2023,2023-02-26,Netflix/YouTube,,1.5,stream_views,med,variety,Bridge year: free livestream on Netflix's YouTube; ~1.1–1.5M views across YT/FB/X in first 12–24h. Not Nielsen-comparable.
71,SAG,2024,2024-02-24,Netflix,,1.8,stream_views,med,deadline,"First under the Netflix multi-year deal; 1.8M views — 'on par' with 2022's last linear outing, but did NOT crack Netflix Top 10 (<2.1M in 24h)."
72,SAG,2025,2025-02-23,Netflix,,2.6,stream_views,med,thewrap,2.6M views over the week (No. 7 on Netflix weekly list); grew ~44% vs 2024. Rebranding toward 'Actor Awards'.
